# beta0 valid_FSR_HWHM_mask_1_valid_0_invalid
0.000000000000000000e+00 1.000000000000000000e+00
7.499999999999999722e-03 1.000000000000000000e+00
1.499999999999999944e-02 1.000000000000000000e+00
2.249999999999999917e-02 1.000000000000000000e+00
2.999999999999999889e-02 1.000000000000000000e+00
3.749999999999999861e-02 1.000000000000000000e+00
4.499999999999999833e-02 1.000000000000000000e+00
5.249999999999999806e-02 1.000000000000000000e+00
5.999999999999999778e-02 1.000000000000000000e+00
6.750000000000000444e-02 1.000000000000000000e+00
7.499999999999999722e-02 1.000000000000000000e+00
8.249999999999999001e-02 1.000000000000000000e+00
8.999999999999999667e-02 1.000000000000000000e+00
9.750000000000000333e-02 1.000000000000000000e+00
1.049999999999999961e-01 1.000000000000000000e+00
1.124999999999999889e-01 1.000000000000000000e+00
1.199999999999999956e-01 1.000000000000000000e+00
1.275000000000000022e-01 1.000000000000000000e+00
1.350000000000000089e-01 1.000000000000000000e+00
1.424999999999999878e-01 1.000000000000000000e+00
1.499999999999999944e-01 1.000000000000000000e+00
1.575000000000000011e-01 1.000000000000000000e+00
1.649999999999999800e-01 1.000000000000000000e+00
1.724999999999999867e-01 1.000000000000000000e+00
1.799999999999999933e-01 0.000000000000000000e+00
1.875000000000000000e-01 0.000000000000000000e+00
1.950000000000000067e-01 0.000000000000000000e+00
2.024999999999999856e-01 0.000000000000000000e+00
2.099999999999999922e-01 0.000000000000000000e+00
2.174999999999999989e-01 0.000000000000000000e+00
2.249999999999999778e-01 0.000000000000000000e+00
2.324999999999999845e-01 0.000000000000000000e+00
2.399999999999999911e-01 0.000000000000000000e+00
2.474999999999999978e-01 0.000000000000000000e+00
2.550000000000000044e-01 1.000000000000000000e+00
2.625000000000000111e-01 1.000000000000000000e+00
2.700000000000000178e-01 1.000000000000000000e+00
2.774999999999999689e-01 1.000000000000000000e+00
2.849999999999999756e-01 1.000000000000000000e+00
2.924999999999999822e-01 1.000000000000000000e+00
2.999999999999999889e-01 1.000000000000000000e+00
3.074999999999999956e-01 1.000000000000000000e+00
3.150000000000000022e-01 1.000000000000000000e+00
3.225000000000000089e-01 1.000000000000000000e+00
3.299999999999999600e-01 1.000000000000000000e+00
3.374999999999999667e-01 1.000000000000000000e+00
3.449999999999999734e-01 1.000000000000000000e+00
3.524999999999999800e-01 1.000000000000000000e+00
3.599999999999999867e-01 1.000000000000000000e+00
3.674999999999999933e-01 1.000000000000000000e+00
3.750000000000000000e-01 1.000000000000000000e+00
3.825000000000000067e-01 1.000000000000000000e+00
3.900000000000000133e-01 1.000000000000000000e+00
3.974999999999999645e-01 1.000000000000000000e+00
4.049999999999999711e-01 1.000000000000000000e+00
4.124999999999999778e-01 1.000000000000000000e+00
4.199999999999999845e-01 1.000000000000000000e+00
4.274999999999999911e-01 1.000000000000000000e+00
4.349999999999999978e-01 1.000000000000000000e+00
4.425000000000000044e-01 1.000000000000000000e+00
4.499999999999999556e-01 1.000000000000000000e+00
4.574999999999999623e-01 1.000000000000000000e+00
4.649999999999999689e-01 1.000000000000000000e+00
4.724999999999999756e-01 1.000000000000000000e+00
4.799999999999999822e-01 1.000000000000000000e+00
4.874999999999999889e-01 1.000000000000000000e+00
4.949999999999999956e-01 0.000000000000000000e+00
5.024999999999999467e-01 0.000000000000000000e+00
5.100000000000000089e-01 0.000000000000000000e+00
5.174999999999999600e-01 0.000000000000000000e+00
5.250000000000000222e-01 0.000000000000000000e+00
5.324999999999999734e-01 0.000000000000000000e+00
5.400000000000000355e-01 0.000000000000000000e+00
5.474999999999999867e-01 0.000000000000000000e+00
5.549999999999999378e-01 0.000000000000000000e+00
5.625000000000000000e-01 0.000000000000000000e+00
5.699999999999999512e-01 0.000000000000000000e+00
5.775000000000000133e-01 0.000000000000000000e+00
5.849999999999999645e-01 0.000000000000000000e+00
5.925000000000000266e-01 0.000000000000000000e+00
5.999999999999999778e-01 0.000000000000000000e+00
